Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,random,sr no
,0,0,58,635,88,546,172,88,88,3,8,10,4,,0,0,0,0,0,0,3,11,1,1096,1
,1,1,38,11,1,6,2,1,6,2,1,1,2,,0,0,0,0,0,0,3,11,0,1505,2
,0,0,26,426,49,127,111,21,42,1,8,2,10,,0,0,0,0,0,0,3,11,0,1678,3
,1,0,26,11,4,20,10,3,5,2,2,0,4,,0,0,0,0,0,0,3,11,0,1801,4
,1,0,94,173,43,118,46,27,15,5,5,3,6,,0,0,0,0,0,0,3,11,0,1810,5
,0,1,16,520,42,98,0,42,14,2,6,4,10,,0,0,0,0,0,0,3,11,0,888,6
,0,1,34,235,65,164,50,49,27,4,7,3,7,,0,0,0,0,0,0,3,11,0,656,7
,1,0,32,76,10,56,3,1,23,2,4,0,4,,0,0,0,0,0,0,3,11,0,1940,8
,1,0,19,14,0,24,3,3,2,1,3,0,2,,0,0,0,0,0,0,3,11,1,951,9
,1,1,68,28,0,6,1,1,13,1,1,0,0,,1,0,0,0,0,0,3,11,0,1457,10
,0,0,59,6,16,11,11,1,16,1,2,0,3,,0,0,0,0,0,0,3,11,0,1645,11
,0,0,82,194,61,480,225,112,30,1,3,4,8,,0,0,0,0,0,0,3,11,0,567,12
,1,1,53,233,2,53,3,5,14,3,6,1,5,,0,0,0,0,0,0,3,11,0,19,13
,0,0,38,3,14,17,6,1,5,1,1,0,3,,0,0,0,0,0,0,3,11,0,367,14
,0,0,23,1006,22,115,59,68,45,1,7,6,12,,0,0,1,1,0,0,3,11,1,1329,15
,1,1,51,53,5,19,2,13,4,3,3,0,3,,0,0,0,0,0,0,3,11,0,1876,16
,0,0,20,84,5,38,150,12,28,2,4,1,6,,0,0,0,0,0,0,3,11,0,132,17
,0,1,91,1012,80,498,0,16,176,2,11,4,9,,0,0,0,1,0,0,3,11,0,358,18
,1,0,86,4,17,19,30,24,39,2,2,1,3,,0,0,0,0,0,0,3,11,0,1150,19
,0,0,41,86,2,73,69,38,48,1,4,2,5,8,,0,0,0,0,0,3,11,0,542,20
2447,,0,42,1,1,1725,1,1,1,15,0,28,0,1,,0,0,0,0,0,3,11,0,1148,21
58607,,1,63,867,0,86,0,0,19,3,2,3,9,8,,1,0,0,0,0,3,11,0,1528,22
65324,,1,0,384,0,102,21,32,5,3,6,2,9,4,,0,0,0,0,0,3,11,0,987,23
40689,,1,69,270,3,27,39,6,99,7,7,1,5,8,,0,0,0,0,0,3,11,0,444,24
18589,,0,89,6,4,25,15,12,13,2,2,1,3,7,,0,0,0,0,0,3,11,0,262,25
53359,,1,4,173,4,30,3,6,41,4,5,1,4,7,,0,0,0,0,0,3,11,0,1528,26
38360,,0,26,36,2,42,20,21,10,2,2,1,4,3,,0,0,0,0,0,3,11,0,1528,27
84618,,0,96,684,100,801,21,66,0,1,6,9,10,2,,0,1,0,0,0,3,11,0,515,28
10979,,0,34,8,4,10,2,2,4,2,3,0,3,5,,0,0,0,0,0,3,11,0,1272,29
38620,,0,56,112,17,44,34,22,89,1,2,5,3,3,,0,0,0,0,0,3,11,0,1098,30
40548,,1,31,110,0,5,2,0,3,2,2,1,4,5,,1,0,0,0,0,3,11,0,1423,31
46610,,2,8,96,12,96,33,22,43,6,4,1,6,6,,0,0,0,0,0,3,11,1,1735,32
68657,,0,4,482,34,471,119,68,22,1,3,5,9,7,,0,0,0,0,0,3,11,0,589,33
49389,,1,55,40,0,19,2,1,3,1,2,0,3,7,,0,0,0,0,0,3,11,0,1903,34
67353,,1,37,702,17,151,0,8,35,5,5,6,12,2,,0,0,0,0,0,3,11,0,1297,35
23718,,0,76,6,3,14,15,7,36,3,3,1,2,7,,0,0,0,0,0,3,11,0,275,36
42429,,1,99,55,0,6,2,0,4,2,1,1,3,5,,0,0,0,0,0,3,11,0,2051,37
48948,,0,53,437,8,206,160,49,42,2,7,10,5,6,,0,0,0,0,0,3,11,1,505,38
80011,,1,3,421,76,536,82,178,102,2,8,6,5,4,,0,0,0,0,0,3,11,0,211,39
20559,,0,88,13,1,29,3,0,7,2,2,0,3,8,,0,0,0,0,0,3,11,0,1147,40
21994,,1,4,9,0,6,3,1,3,1,0,0,3,5,0,,0,0,0,0,3,11,0,205,41
7500,1,,19,3,1,10,3,2,12,3,2,0,3,5,0,,0,0,0,0,3,11,0,1221,42
79941,0,,72,123,164,266,227,30,174,1,2,4,9,1,0,,0,0,0,0,3,11,0,1682,43
7500,0,,24,3,18,14,15,22,50,3,3,1,3,9,0,,0,0,0,0,3,11,1,2160,44
41728,1,,92,13,6,15,3,5,13,1,2,0,2,10,0,,0,0,0,0,3,11,0,1755,45
72550,1,,39,826,50,317,50,38,38,9,5,2,12,8,0,,0,0,0,0,3,11,0,693,46
65486,0,,29,245,19,125,37,67,14,1,4,2,10,2,0,,0,0,0,0,3,11,0,272,47
79143,0,,2,650,37,780,27,167,32,1,6,9,13,3,0,,0,0,0,0,3,11,0,2054,48
35790,1,,54,12,6,20,30,1,3,2,2,0,3,7,0,,0,0,0,0,3,11,0,1652,49
82582,0,,54,510,120,550,156,40,241,1,4,9,7,1,1,,0,1,0,0,3,11,1,1361,50
66373,1,,57,328,9,124,12,24,109,7,4,2,10,3,0,,0,0,0,0,3,11,0,645,51
82384,0,,55,984,51,432,180,120,190,1,3,10,13,1,0,,1,0,0,0,3,11,1,1069,52
70287,0,,30,295,35,482,121,120,40,1,5,5,10,3,0,,0,0,0,0,3,11,1,104,53
27938,1,,31,13,0,8,2,1,5,1,1,0,4,3,0,,0,0,0,0,3,11,0,76,54
55954,0,,63,447,0,28,0,0,43,3,8,2,6,7,0,,0,0,0,0,3,11,0,1199,55
75777,0,,12,712,26,538,69,13,80,1,3,6,11,1,0,,1,0,0,0,3,11,1,21,56
66653,1,,18,452,18,102,16,18,6,4,4,2,12,3,0,,0,0,0,0,3,11,0,1763,57
61823,0,,26,523,7,134,37,14,169,4,8,2,10,7,0,,0,0,0,0,3,11,0,1409,58
67680,0,,8,546,0,48,0,6,6,1,7,3,8,5,0,,0,0,0,0,3,11,0,295,59
70666,0,,29,398,40,367,119,122,30,1,7,4,4,4,0,,0,0,0,0,3,11,0,1778,60
25721,1,,75,1,3,6,3,6,15,1,1,1,2,7,0,,0,0,0,0,3,11,1,198,61
32474,1,,0,10,0,1,0,0,0,1,1,0,2,7,0,,0,0,0,0,3,11,0,1174,62
88194,0,1,,688,14,309,201,24,38,1,11,10,10,5,1,,0,1,0,0,3,11,1,1397,63
69096,0,1,,247,49,159,7,82,109,1,5,2,10,4,0,,0,0,0,0,3,11,0,1868,64
74854,1,2,,856,59,487,58,29,73,7,2,5,5,5,0,,0,0,0,0,3,11,0,220,65
66991,0,0,,496,36,460,189,60,12,3,4,8,6,3,0,,0,0,0,0,3,11,0,1041,66
65031,0,1,,258,107,291,84,37,86,4,10,3,13,7,0,,0,0,0,0,3,11,0,1993,67
60631,1,1,,565,6,65,0,6,19,5,9,2,8,7,0,,0,0,0,0,3,11,0,265,68
28332,0,0,,14,10,13,4,15,9,1,2,1,4,2,0,,0,0,0,0,3,11,0,1391,69
40246,1,0,,2,1,6,2,1,1,1,1,0,2,6,0,,0,0,0,0,3,11,0,2187,70
75251,0,0,,721,111,925,97,18,18,1,7,6,5,5,0,,0,0,0,0,3,11,1,147,71
75825,0,0,,1032,105,779,137,105,51,0,5,8,9,4,1,,0,0,0,0,3,11,1,1542,72
26326,0,0,,1,0,5,0,3,9,1,0,0,3,3,0,,0,0,0,1,3,11,0,246,73
56046,0,0,,577,0,64,0,0,51,2,10,1,8,8,1,,0,0,0,0,3,11,1,2177,74
29760,1,0,,64,4,68,7,5,17,4,3,1,4,8,0,,0,0,0,0,3,11,0,984,75
26304,1,0,,4,1,5,2,0,4,1,1,0,2,7,0,,0,0,0,0,3,11,0,853,76
23559,1,0,,25,5,19,7,0,23,3,3,0,3,7,0,,0,0,0,0,3,11,0,2013,77
38620,0,0,,112,17,44,34,22,89,1,2,5,3,3,0,,0,0,0,0,3,11,0,277,78
81361,0,0,,163,23,424,27,65,76,1,3,10,13,1,0,,0,0,0,0,3,11,0,1692,79
29440,1,1,,17,8,14,10,4,3,2,1,0,4,7,0,0,,0,0,0,3,11,0,1191,80
36138,1,1,,130,0,16,0,0,5,5,3,1,4,7,0,1,,0,0,0,3,11,0,1139,81
50388,0,1,,292,6,37,0,3,34,4,6,1,6,7,0,1,,1,0,0,3,11,1,988,82
79593,0,0,,350,60,568,110,133,145,1,5,6,7,2,0,0,,0,0,0,3,11,0,839,83
54178,0,1,79,,9,39,4,0,7,1,2,2,5,2,0,0,,0,0,0,3,11,0,247,84
42394,1,0,69,,2,10,0,1,4,1,1,0,3,7,0,0,,0,0,0,3,11,0,1088,85
23626,1,0,84,,2,14,0,0,0,3,3,1,3,5,0,0,,0,0,0,3,11,0,340,86
30096,1,0,30,,3,11,12,5,9,1,2,0,3,6,0,0,,0,0,0,3,11,0,1544,87
47916,0,1,72,,0,26,0,0,75,5,7,4,6,6,0,1,,0,0,0,3,11,0,569,88
51813,1,1,37,,2,7,0,1,2,2,2,0,3,7,0,0,,0,0,0,3,11,0,1159,89
78497,0,0,44,,26,447,75,0,223,1,5,7,12,2,0,0,,1,0,0,3,11,0,1896,90
50150,0,0,32,,46,92,65,61,11,2,5,2,7,5,0,0,,0,0,0,3,11,0,467,91
47823,0,1,0,,1,5,2,1,10,2,2,0,3,8,0,0,,0,0,0,3,11,0,1915,92
